bag_size,num_features,num_models,fold,accuracy_score
0.4,1,5,1,0.604
0.4,1,5,2,0.544
0.4,1,5,3,0.608
0.4,1,5,4,0.616
0.4,1,5,5,0.632
0.4,1,10,1,0.588
0.4,1,10,2,0.552
0.4,1,10,3,0.62
0.4,1,10,4,0.624
0.4,1,10,5,0.64
0.4,1,20,1,0.62
0.4,1,20,2,0.544
0.4,1,20,3,0.62
0.4,1,20,4,0.628
0.4,1,20,5,0.644
0.4,1,50,1,0.6
0.4,1,50,2,0.548
0.4,1,50,3,0.628
0.4,1,50,4,0.64
0.4,1,50,5,0.644
0.4,1,100,1,0.584
0.4,1,100,2,0.544
0.4,1,100,3,0.612
0.4,1,100,4,0.636
0.4,1,100,5,0.644
0.5,1,5,1,0.608
0.5,1,5,2,0.54
0.5,1,5,3,0.612
0.5,1,5,4,0.612
0.5,1,5,5,0.64
0.5,1,10,1,0.604
0.5,1,10,2,0.548
0.5,1,10,3,0.616
0.5,1,10,4,0.628
0.5,1,10,5,0.64
0.5,1,20,1,0.62
0.5,1,20,2,0.548
0.5,1,20,3,0.612
0.5,1,20,4,0.628
0.5,1,20,5,0.64
0.5,1,50,1,0.62
0.5,1,50,2,0.532
0.5,1,50,3,0.608
0.5,1,50,4,0.632
0.5,1,50,5,0.648
0.5,1,100,1,0.592
0.5,1,100,2,0.544
0.5,1,100,3,0.616
0.5,1,100,4,0.64
0.5,1,100,5,0.644
0.6,1,5,1,0.608
0.6,1,5,2,0.548
0.6,1,5,3,0.624
0.6,1,5,4,0.616
0.6,1,5,5,0.62
0.6,1,10,1,0.616
0.6,1,10,2,0.548
0.6,1,10,3,0.616
0.6,1,10,4,0.632
0.6,1,10,5,0.64
0.6,1,20,1,0.62
0.6,1,20,2,0.54
0.6,1,20,3,0.616
0.6,1,20,4,0.64
0.6,1,20,5,0.64
0.6,1,50,1,0.616
0.6,1,50,2,0.544
0.6,1,50,3,0.628
0.6,1,50,4,0.652
0.6,1,50,5,0.656
0.6,1,100,1,0.604
0.6,1,100,2,0.548
0.6,1,100,3,0.624
0.6,1,100,4,0.648
0.6,1,100,5,0.656
0.7,1,5,1,0.604
0.7,1,5,2,0.544
0.7,1,5,3,0.62
0.7,1,5,4,0.624
0.7,1,5,5,0.616
0.7,1,10,1,0.62
0.7,1,10,2,0.56
0.7,1,10,3,0.624
0.7,1,10,4,0.632
0.7,1,10,5,0.64
0.7,1,20,1,0.616
0.7,1,20,2,0.54
0.7,1,20,3,0.616
0.7,1,20,4,0.636
0.7,1,20,5,0.64
0.7,1,50,1,0.6
0.7,1,50,2,0.552
0.7,1,50,3,0.628
0.7,1,50,4,0.656
0.7,1,50,5,0.664
0.7,1,100,1,0.596
0.7,1,100,2,0.548
0.7,1,100,3,0.632
0.7,1,100,4,0.652
0.7,1,100,5,0.656
0.8,1,5,1,0.616
0.8,1,5,2,0.58
0.8,1,5,3,0.636
0.8,1,5,4,0.664
0.8,1,5,5,0.636
0.8,1,10,1,0.62
0.8,1,10,2,0.548
0.8,1,10,3,0.636
0.8,1,10,4,0.644
0.8,1,10,5,0.648
0.8,1,20,1,0.624
0.8,1,20,2,0.54
0.8,1,20,3,0.62
0.8,1,20,4,0.64
0.8,1,20,5,0.64
0.8,1,50,1,0.612
0.8,1,50,2,0.548
0.8,1,50,3,0.636
0.8,1,50,4,0.652
0.8,1,50,5,0.668
0.8,1,100,1,0.6
0.8,1,100,2,0.548
0.8,1,100,3,0.648
0.8,1,100,4,0.644
0.8,1,100,5,0.656
